Product Name(PN),  Search Result by PN  ,Company Name(CN),Search Result by CN,Designer (D),Search Result by D,Search Result by PN+CN,Search Result by PN only in HK,Search Result by PN only in China,Search Result by PN only in Amazon.com
voices for biodiversity,"9,990",Voices for Biodiversity,"9,990",Erika Zambello,"6,770","9,840","2,060","4,160",341
naked 0,"840,000",Aztec Two-Step,"44,000",Rex Fowler,"13,400","886,000","11,700","15,100",55
the oscilloscope clock iv analog version for large,170,Howard Constantine,"5,880",Howard Constantine,"6,020","6,310",1,9,147
knasa chef knife inspired by nasa patented technol,549,Adam Ackerman,"15,300",Adam Ackerman,"15,300","15,300",3,10,3
dusty brush the new way to clean 0,234,Dominic Moraitis,"5,290",Dominic Moraitis,"5,290","5,800",9,178,"11,200"
quadbot real robotics made accessible,207,EngiMake,"9,390",Josh Elijah,"15,200","9,480",5,57,0
rule massively multiplayer real time strategy game,138,Boyd Robertson,"21,400",Boyd Robertson,"21,400","20,500",1,3,"1,050"
hacker garage 40 un mejor hackerspace para creador,74,HackerGarage,"12,100",Daniel Hans Ramirez Peralta,8,"12,100","3,220","36,200",6
how to be a magician,"1,410,000",Ellusionist,"730,000",Brad  Christian,"34,900","872,000",10,4,"1,800"
perfect cookware for everyone handcrafted in the u,6,Marie   Merrill,"39,300",Mark Heard,"80,700","37,700",1,"399,000",219
the contractors website and concept art,4,John L.,"7,020,000",John Layman,"274,000","1,300,000","114,000","3,160,000",556
sparkr and sparkr mini,"4,620",Power Practical,"110,000",Kenyon Ellis,"6,490","110,000",206,603,"225,000"
omnos 512 soundbar affordable 3d sound for home th,325,Yinkman Labs,280,Christopher Olenik,467,314,1,3,1
the spontaneous pop up display spud,"18,700",Arovia,"26,200",Alexander Wesley,"27,100","27,200",488,310,5
anew you style journal life changing results in 12,111,Wilma Haerkens,414,Wilma Haerkens,414,425,1,2,1
brondell swash intelligent electronic bidet toilet,8,Brondell Inc.,"12,300",Sarah Catherine Chase,167,"12,900",3,8,252
jeans with a side panel for the perfect fit,199,zehnle von langsdorff,"3,930",Yvonne von Langsdorff,294,"7,450",4,7,"23,500"
rmour silver case for your iphone 7 and 7 plus,260,Team Creatio,"4,680",Jimmy Pan,"9,820","4,830","280,000",1,"50,100"
coolbag gen2 anti theft recreational travel bag wi,9,David Ponx,337,David Ponx,337,341,1,3,33
ko8 pro the evolution of functional fitness,155,Kieran Owens,"31,300",Kieran Owens,"31,300","8,010",2,2,0
gir ladle and spoonula,412,GIR: Get It Right,"37,800",Samantha Suzanne Tonini Rose,"15,400","36,200",194,2,174
odyssey the next generation science game,"9,860",The Young Socratics,"30,700",Vivek Kaul,"67,200","11,800",312,376,"12,300"
nimble sense bring your hands into virtual reality,"1,880",Nimble VR,"7,740",(name not available),"1,040,000","7,490",61,252,118
riftmax theater,"7,220",Internow Games LLC,279,(name not available),"1,040,000","7,210",95,286,0
font awesome 5,"35,400",Dave Gandy,"152,000",David Gandy,"3,830,000","181,000",158,438,"19,000,000"
pokito,"1,230,000",Andrew Brooks,"191,000",Andrew Brooks,"191,000","1,250,000","13,400","9,070",268
dialect a game about language and how it dies,"2,300",Thorny Games,"7,680",Hakan Seyalioglu,"6,130","8,420",140,482,"6,510"
monsterhearts 2,"6,070",Avery Alder,"8,280",Avery Alder,"8,280","6,690",87,174,35
qi aerista the ultimate wi fi enabled smart tea ma,318,Rick Ha,"25,000",Wan Kei Ricky Ha,161,"33,300",5,8,0
k board pro 4 smart fabric keyboard,163,Keith McMillen Instruments,"212,000",Keith McMillen,"458,000","212,000",4,16,"6,910"
hudify a transparent gps that keeps your eyes on t,283,Hudify Inc.,"1,980",Aron Joshua Tolentino,38,"6,710",9,308,3
vinci first smart 3d headphones that understand yo,"8,960",Inspero Inc.,"28,200",Cathy Cao,"11,600","29,000",9,316,8
bixi control any smart device by simply waving you,357,Bixi,"1,640,000",Franck Roy,"24,800","1,640,000",8,410,0
2nd generation magbak protect your phone mount it,833,Alex Baca   1Lss Inc.,241,Alejandro Baca,"54,600","1,060",1,5,27
flowmotion smartphone stabilizer the end of shaky,"5,390",FlowMotion Technologies,"7,240",Erik Flood,"6,720","9,210",68,"1,650",4
sevenhugs smart remote the first remote for everyt,298,Sevenhugs,"110,000",Simon Tchedikian,"3,090","110,000",81,209,30
the wolfe supercharge your laptop,"2,630","Wolfepack, Inc.","1,560",Dino Rodriguez,"7,220","3,470",27,185,178
dashbot a 49 robot for your dashboard,306,Next Thing Co.,"36,300",Daven Rauchwerk,79,"51,900",20,183,4
your everyday light for any lifestyle,595,Lume Cube,"387,000",Matthew Cummins,"16,200","343,000",55,190,"341,000"
foldscope the origami paper microscope,"7,510",Foldscope - Manu Prakash & Jim Cybulski,"12,400",James Cybulski,"13,000","4,690",247,182,4
ad free indie mobile quiz games,9,Glitterbug,"232,000",Laura Antoinette Cavanagh,105,"148,000","202,000","345,000","36,300"
geareye the ultimate gear management system,"4,640",GearEye,"17,300",Anna Kreynin,"2,480","15,200",94,606,23
vimble s never capture a shaky video again,"2,150",DelTron Intelligence Technology Limited,"2,240",Xuran Cheng,99,"2,970",237,83,15
snapnator your macbook snap feature is back,"8,730",Snapnator.com,"6,740",Matt Cereno,146,"12,400",318,167,3
ae modular a modular synthesizer for everyone,127,tangible waves,"22,300",Robert Michael Langer,209,"22,500",4,10,28
airblock the modular and programmable starter dron,"2,170",Makeblock,"2,150,000",Daniel Vensel,350,"2,150,000",60,61,92
vue your everyday smart glasses,"24,000",Vue,"122,000,000",Jason Gui,"10,400","122,000,000",381,527,1
krossblade skyprowler multi mission vtol transform,242,Krossblade Aerospace Systems LLC,"3,180",Austin Kipp,"9,740","3,440",4,17,0
world of myrr adventure modules and handbook for 5,119,Cawood Publishing,"27,800",Andrew John Cawood,"1,910","28,000",1,"47,700",1
limitless encounters vol 1,223,Limitless Adventures,"13,800",Andrew Hand,"31,800","13,900",5,30,135
freedrum the drumkit that fits in your pocket,"5,200",Freedrum,"33,800",Joshua Angehr,42,"33,800",77,332,35
square off worlds smartest chess board relaunched,242,InfiVention Technologies,"4,070",Manoj Bhardwaj,"45,700","4,210",6,194,4
quackup quackup attack video game for windows and,57,Raymond Mullikin,"14,000",Raymond Mullikin,"14,000","13,900",1,2,6
the harlan ellison books preservation project,364,Jason Davis,"809,000",Thomas Davis,"1,410,000","805,000",5,122,58
visions of a thousand eyes the ultimate fantasy ar,70,Delphin Druelle,"14,600",Delphin Raymond Etienne Druelle,"11,200","15,000",3,3,64
txture new workshop to revive prehispanic woven fu,7,txt.ure,"7,550",Regina Pozo Ruiz,390,"7,620","21,600","27,700",0
kingdom death monster 15,"41,400",Kingdom Death,"625,000",Adam Poots,"33,200","534,000",165,309,"7,070"
betterback therapy improve posture back pain,132,BetterBack,"38,300",Katherine Krug,"14,200","387,000",2,2,363
helios touch modular lighting system,"3,710",Dyena,"69,300",James Glover,"143,000","53,700",135,90,482
adventure mat a clean surface wherever you go,196,Ralph Kuhlmeier,406,ralph kuhlmeier,406,533,27,55,188
fin a vibrator for fingers,661,Dame Products,"74,600",Alexandra Fine,"12,900","88,100",124,87,218
ab blaster the most complete core fitness workout,275,Dimitry Boss,340,Dimitry Boss,340,372,3,9,"1,260"
watson the backpack for uncompromising professiona,70,Function,"448,000,000",Valerie Crisp,"4,330","446,000,000",5,6,7
vinco wallet the profoundly thin veg tan card slee,9,Vinco Life,"5,150",Raja Mohammed Ibrahim,741,"6,150",1,3,0
el dorado maya playing cards relaunch,114,Emmanuel Valtierra,"46,800",Jesus Eutiquio Garza,4,"7,360",5,64,3
armed forces playing cards,282,RJ Tomlinson,"7,620",Robert James Tomlinson,"1,530","21,800",146,269,"33,200"
divine art playing cards limited edition,561,Sunish Chabba,"29,400",Sunish Chabba,"29,200","30,600",4,10,"39,500"
chronos 14 high speed camera,"33,400",Kron Technologies,"6,440",David Kronstein,"10,700","38,700",192,869,739
evercube lifetime toothbrush holder and multipurpo,156,Ryan Mueller & Cris Calvillo,"6,010,000",Ryan Thomas Mueller,971,154,27,3,0
yokai quest,"9,260",Zenitminiatures,"14,800",Daniel Jesus Pro Gil,70,"22,500",116,163,177
parkis space saving bicycle lift,"5,820",Giedre,"1,500,000",Giedre Raubaite,168,"1,500,000",10,137,"6,370"
inflatable waterproof anti shock capsula backpack,196,IMAGINATION FARM USA LLC,"16,800",Enrica Gray,100,"17,000",5,49,6
stealth get ripped abs by playing games on your sm,655,STEALTH FITNESS,"7,110",Howard  Panes,"10,900","7,680",6,7,16
bear soles the warmest choice this winter,319,Honey Soles,"24,900",Brad Sunness,247,"26,200",4,21,113
grippz mats the worlds first acupressure yoga mat,82,Katrina Starzhynskaya,"27,700",Katsiaryna Starzhynskaya,185,"29,300",2,32,6
fotric 123 cloud based thermal camera for early fi,161,Fotric Precision Instruments,"2,860",Weiqi Yin,378,"2,940",2,3,0
wirebutter smart powerboard,272,Anthony Salerno,"39,400",Anthony Salerno,"39,400","58,900",20,2,0
bluetooth smart pen 20 exceptional quality and val,209,Mimoto Tech,"2,020",Roman Gudzyuk,288,"2,160",2,6,48
repour smart stopper,291,Wine Saver,"186,000",Thomas Lutz,"91,800","235,000",8,47,40
swankytm the floating ladle,92,OTOTO,"1,230,000",Joshua Soloway,609,"1,230,000",34,309,107
dash access bifold wallet,233,Steven Elliot,"43,800",Steven Ng,"164,000","48,400",4,16,274
audio game hub keep your ears wide open,160,Jarek Beksa,460,Jaroslaw Beksa,492,587,3,5,"40,800"
lee knife the best kitchen knife on earth,9,Tianyu,"2,390,000",(name not available),"1,330,000","2,400,000","209,000",9,"7,870"
swindon fringe festival 2017,242,Madam Renards,"2,170",Molly Hannah F Campbell,"2,380,000","2,350",2,2,3
idockall 2 true one hand undocking with a twist,81,Nath & Kev - Wiplabs,"12,700,000",Nathalie De Clercq,"19,700",5,17,85,0
colaboracion no1 aluxes,161,La Refugio,"18,300",Mariana Valentina Maduro,"212,000","18,100",1,2,0
the station a first person exploration story drive,298,The Station,"45,700,000",Kevin Harwood,"8,620","3,180,000",7,7,"9,530"
king lear,"38,600,000",Eno River Players,341,Louis Egger,"3,200","472,000","400,000","359,000","11,700"
krysala birth,9,Valancet,"3,650",Mark Grant,"276,000","3,580",409,1,1
xlp dice v20,128,TWIST Gaming,"11,200",Joshua Benjamin Perry,7,"11,100",5,2,0
lil bunny sue roux on two the adopted two legged b,150,Golden Bell Studios,"18,500",Marc Goldner,"11,400","7,730",1,1,0
pod portable power on demand,50,Devin Fausett,186,(name not available),"1,270,000",217,5,8,"23,000"
the journeyman series handcrafted mechanical watch,8,Vortic Watches,"9,690",Robert Thomas Custer,237,"9,680",1,1,483
objects of celebration,"43,400",Claire Heminsley,"5,850",Claire Ruth Heminsley,"9,540","57,900","9,180","25,600",4
studio ceramica we need wheels,4,Mel Rice,"26,100",Melissa Rice,"44,800","27,300",1,1,171
morpheus delta fine quality resin 3d printer at fd,88,TEAM OWL WORKS,"4,770",SEYOUNG KIM,"29,700","4,840",4,25,0
political fables for unsweet dreams,93,Jose Heredia,"142,000",Jose Manuel Heredia,"20,000","145,000",8,24,0
five minutes for art a coloring book from peter si,6,Painted Heroes,"19,700",Peter Simeti,"14,000","17,800","209,000","564,000",127
man vs meeple,"32,000",Jeremy D Salinas,897,Jeremy Salinas,"28,100","32,500",272,225,4
5 minute dungeon the most fun you can have in 5 mi,"2,080",Wiggles 3D,"77,600",Connor Reid,"92,800","77,600",7,1,242
chocamo cookie cups sip bite feed your soul,91,ChocAmo Cookie Cups,"4,750",Michelle Silberman,"1,660","1,550",4,6,0
chip smart cookie ovenfresh cookies in under 10 mi,264,CHiP Team,"162,000",Kevin Yu,"127,000","164,000",1,5,9
destiny aurora renegades miniatures board game,"2,490",Destiny Horizons,"12,200",Frank Zanca,"3,000","12,800",7,6,3
oak turn your tabletop into an augmented reality p,59,ToneTree Inc.,923,Brian Cook,"378,000",976,407,1,1
pocketlab voyager explore science in your world,370,Clifton Roozeboom,"1,440",CLIFTON ROOZEBOOM,"1,440","1,500",1,1,23
this defiant earth 1950s sci fi movie roleplaying,638,C. Michael Hall,"343,000",C Michael Hall,"343,000","66,300",1,1,4
vaxcards a game of infectious disease and fun,254,Adam & Dan,"930,000,000",Daniel Stewart Epstein,90,196,1,1,1
bitten a 5 minute game of survival in the zombie a,5,Grim Games,"132,000",Michael Wayne Murphey,153,"132,000",1,1,677
not profit record label,9,Steve Neurotic,"1,790",Stephen Papp,"7,370","1,830",21,723,"3,530"
the red dragon inn 6 villains,"2,460",SlugFest Games,"181,000",Jeffrey Alan Morrow,"1,060","182,000",9,9,2
papercuts a party game for the rude and well read,901,Electric Literature,"250,000",Halimah Marcus,"3,670","250,000",1,215,15
hp lovecraft cthulhu mythos the great old ones ii,470,Rykar Jove,"4,860",Ricardo Jove Sanchez,6,"5,120","7,970","127,000","1,690"
ohhio braid unique craft material for chunky creat,"1,490",Anna,"340,000,000",Jonathan Smith,"1,210,000","1,210,000,000",3,1,18
kyotomoji box your life,"5,460",Maison Wasabi,"2,910",Maxime Roumi,338,"3,020",107,686,0
brimstone,"2,390,000",MOOD,"141,000,000",William Henry Simmons,"10,600","142,000,000","57,800","113,000","15,200"
aubergine pillow comfort in just a puff,399,Aubergine Studio,"25,600",N/A Teo Ren Zhong John,"125,000","26,300",30,127,"3,000"
odin2 smart projector for movies video calls and a,248,Alex Yoo of Dos Owls,"3,270",Alex Yoo,"15,400","3,370",2,3,5
xube streamline your shower experience on the go,182,Team Xube,"39,200",N/A Lee Hsiao Fong,"172,000",271,4,36,225
smart 3d printing system to create your message ri,8,Ken of Poesis,166,Wing Tak Too,10,167,"601,000","322,000",82
guppy friend washing bag,"3,210",STOP! MICRO WASTE,"10,800",Alexander Nolte,"15,600","13,200",68,467,167
pomo waffle smartwatch for kids independence and c,158,POMO House,"28,500",Pat Srivilai,82,"25,000",7,147,0
kobold press bestiary a collection of fantasy mini,395,John Popson,"31,200",John Popson,"31,200","31,500",1,3,68
piesareawesome,"8,060",Jessica Leigh Clark-Bojin,"22,700",Jessica Leigh Clark-Bojin,"22,700","8,800",65,121,0
the forest dragon card game by rory,67,Jon Hodgson,"59,700",Jonathan Hodgson,"36,200","63,700",1,6,143
the identity card,"558,000",Thornwillow,"54,000",Luke Pontifell,624,"586,000","43,100","58,400",182
clades the evolutionary card game,151,Grandmother Fish LLC,156,Jonathan Tweet,"60,700",345,3,10,109
cultists of the kraken lord,314,Midlam Miniatures,"15,100",Paul Scott,"445,000","15,400",2,2,3
frankfurter brett basic 100 grossartig,447,Johannes Schreiter & Joseph Schreiter,"132,000",Johannes Schreiter,"102,000",384,13,1,2
gryphon simple safe super fast wifi for modern fam,708,"Gryphon Online Safety, Inc.","2,410",John Wu,"256,000","2,490",1,1,147
love forgive never give up a self empowerment book,97,Bill Hargenrader,"27,900",Bill Hargenrader,"27,900","28,000","19,700","1,130,000","2,400"
glow an illuminating crystal that floats in mid ai,225,Glow Design,"240,000",Frederick Sakai,89,"240,000",1,5,27
morris the reversible fish,354,Rachel Ciavarella,"4,040",Rachel Ciavarella,"4,040","1,450",1,4,305
jive tws earbuds pure wire less audio,559,JIVE Creative,817,Rodney L.  Pfeifer,947,989,3,7,4
cardboard ceramics,"4,570",Ray Gonzalez Brown,"1,690",Ray Gonzalez Brown,"1,690","4,780",47,298,29
hooked 0,"26,700",Nicholas Marschner,370,Nicholas Scott Marschner,"39,100","27,100",535,194,5
test cups,"48,900",Isabel Farchy,687,Isabel Victoria Farchy,18,"49,500",296,"6,070",354
gripster interior bicycle storage made simple,76,Jose Hernandez,"389,000",Jose Hernandez,"389,000","2,460,000","11,200",1,123
yellowstone wolf genealogy online,195,Jim Halfpenny,"19,200",James Halfpenny,"8,940","19,700",3,14,7
sence the evolution of mindfulness and productivit,308,Eugene Nayshtetik,"2,620",Olena Tuts,107,"2,740",1,1,0
trapmats the worlds first easy clean dual car mats,"5,720",Byung Kim,"116,000",Byung Kim,"116,000","137,000",3,8,0
new space plus returned ess sabre32 dsd dxd dac,5,MAGIC PIXEL Team,445,Jozef Gubo,785,448,29,1,5
talkimate the stylish accessory for smartphone wal,157,Rita Lee,"1,770,000",Rita Mei Jen Lee,"4,580,000","1,700,000",2,5,0
enamel pins wicked trio,7,MyRanda Harnage,454,Myranda Harnage,454,"2,530","2,820","77,100",4
huberton genuine leather slim wallets,104,Huberton,"4,890",Jonatan Martinez Lopez,"1,550","4,800",7,636,0
save and clear up the world transforming junk into,39,ScoobaFish Recycling Art,118,Maurizio Giuseppe Sergiusti,38,128,"52,000",2,"2,850"
i extruder smart solder paste and fluids dispenser,"1,020",Artline International,"3,760",Khamzat Makhotlov,62,"4,340",13,145,1
zapbox experience mixed reality for just 30,256,Zappar,"149,000",William Ridgeway,"138,000","150,000",5,1,3
ravean van tour and loyalty program,2,Ravean Team,"1,300",Bryce Fisher,"66,100","1,300","75,900","213,000","8,770"
monkey business,"10,800,000",Laser Maade,395,Mara Hooker,714,"11,100,000","20,900","281,000","12,100"
ostrich pillow go maximum comfort sleep for all ne,"1,450",STUDIO BANANA,"179,000",Ali Ganjavian,"37,000","179,000",6,5,72
super powers for every girl book and cards,9,Lisa Van Ahn,"2,530",Lisa Van Ahn,"2,530","2,530","1,900,000","1,890,000","1,830,000"
impressions cardinal ed playing cards,"4,600",Make Playing Cards - MPC,"2,260",Chor Yee Cheng,208,"2,490",1,5,146
taking over shakespeare,905,Becca Gibbs,"2,290",Rebecca Frances Gibbs,9,"3,180",1,1,"318,000"
new york show of limited edition hand pulled scree,257,Robin Ross,"92,000",Robin Ross,"92,000","92,000",1,1,"172,000"
sentinel 3d printer filament detector and cleaner,354,DYZE DESIGN,"30,500",maxence gelinas-guy,388,"30,700",4,2,2
re arm for ramps simple 32 bit upgrade,413,Roy Cortes,"4,000",Roy Cortes,"4,000","3,620",1,9,720
ez 2c 3d viewer 1,69,Ez 2c 3D Viewers and Video Equipment,6,Crystle Gallegos,450,70,"2,130,000",1,4
d3 the first real three sided dice,121,Broken Arrow Games,"9,940",(name not available),"707,000","10,100","24,300","112,000",339
apocalypse frenzy,"1,160",Laurens Bliek,817,Laurens Bljek,216,"1,630",6,28,6
affordable dlp 3d printer amazing 2k resolution,693,SH IP,"378,000",Sai Hoi Ip,8,"377,000",2,2,126
macromat miniature photo backdrops,320,TABLEWAR(TM),"1,760",Todd Benton Kinkade,65,406,1,1,0
darkroom secrets,"87,700",Unicorn Publishing USA,"11,800",Fanny Vega,"36,600","94,400",8,469,1
multibru a versatile manual brewer for coffee and,313,Mike Lancey,"3,690",Mike Lancey,"3,690","3,700",2,1,0
redundant clock,"163,000",Ji Lee,"457,000",Ji Lee,"457,000","465,000",441,865,4
the bike hanger 20 beautiful bicycle storage,7,KP Cykler,"34,200",Birk Kure,79,"34,300","616,000","4,890,000","2,730,000"
trinken the ultimate stealth koozie redesigned,297,Jerry Mcarthur,"4,810",Lolo Lids,"3,860","4,840",1,1,1
redefining italian luxury watches filippo loreti,"2,260",Danielius & Matas,"666,000",Matas Jakutis,"1,870","2,030",32,48,0
the heimplanet motion series active backpacks,"1,050",HEIMPLANET,"1,800,000",Stefan Clauss,"2,060","1,800,000",7,2,2
everlast,"21,200,000",Rocketbook,"813,000",Joseph  Lemay,"54,200","21,200,000","20,000","22,400","29,000"
3dtotal anatomy reference extended collection,801,3DTotal Games,"46,600",Tom Greenway,"78,500","46,800",1,2,5
flippr the ironing board that saves 80 of your tim,8,Sharkk Labs,"1,940",DOVBER BRAFMAN,25,"2,120",1,2,9
music cloth,"119,000",JJ Chuan,563,Jessica Yi Xin Chuan,67,"119,000",85,"5,490",186
tuck the ultimate comfort companion,"5,510",PocketChange Designs,"6,150",Cody Lewis,"115,000","7,770",16,662,7
taps touchscreen sticker w touch id ships before x,"10,600",Tony Yu,"194,000",Tony Yu,"193,000","194,000",3,4,"1,830"
illuminate your helmet lightmode kits redesigned,594,LightMode,"203,000",Thomas Plywaczewski,"19,800","199,000",1,"76,800",4
pi3cart nes cartridge case for raspberry pi 3,"2,310",William Mauldin,"67,000",William Mauldin,"15,600","64,200",1,129,2
phonster x the best phone holster is back on kicks,"1,160","""AGE"" LLC","204,000",Roman Sviontek,368,"203,000",4,238,1
usp mkii atmel programmer,155,eHaJo,"34,500",Hannes Jochriem,"4,630","32,500",434,"48,800",14
dwar7s fall,"21,300",Vesuvius Media Ltd,"1,090",Konstantinos Panagopoulos,"30,100","23,900",33,"3,400",1
a profound waste of time a gaming magazine,"1,210",Caspian Whistler,"1,500",Caspian Conrad Salari Whistler,7,"1,560",8,"503,000","8,840"
shamrockwalletstm the perfect slim leather wallets,8,ShamRockCollection™,7,(name not available),"892,000",1,1,6,456
boldr watches voyage sleek design meets smart func,93,TRAVISLEON Watch Company.,"1,100",Vincent Wai Sum Ko,"162,000","1,130",132,"62,700",189
agony,"36,200,000",PlayWay,"1,100,000",Peter Wieckowski,445,"41,500,000","37,500","308,000","52,100"
moti your smart companion for better habits,501,"MOTI, Inc.","2,080",Kayla Matheus,"4,320","2,130",1,"49,700",6
superbear art te d30 and r2 bear 2 stickers t shir,2,Jonathan Greer,"119,000",Jonathan Randall Pruitt Greer,"101,000","117,000",6,31,0
scribble a revolutionary pen that draws in any col,87,Scribble Technology,"1,950",(name not available),"892,000","1,950","280,000","101,000",20
feudum a nuanced game of hand and resource managem,"1,490",Mark Swanson,"115,000",Mark Swanson,"311,000","118,000",3,185,1
fantasy maps the shops 12 shops for your town,10,Gaudreau Steve,"5,330",Steve Gaudreau,"10,800","1,170","3,230,000","493,000","13,100"
wonder wires charge your cell save files and trans,4,Wonder Wires,"1,740",(name not available),"892,000","1,690","2,580,000","4,210,000",521
gina smart coffee instrument by goat story,"7,070",Anze Miklavec,"87,500",Samo Korosec,"4,300","78,500",41,"126,000",86
noomoon add the swiss touch to your apple watch,352,NOOMOON,"112,000",David Vanhouteghem,147,"119,000",1,400,0
codename colossus mki cyclops electronic walking m,164,Machination Studio,"12,300",Woei Shyong Sng,1,"11,900",1,"71,400",1
tales from the loop roleplaying in the 80s that ne,"1,630",Fria Ligan,"68,400",Tomas HÃ¤renstam,1,"69,400",1,"61,300",6
wobbly peyote a cactus themed desktop toy,659,Tim Summers,"115,000",Timothy James Summers,566,"116,000",1,"16,000",1
duo mount highly compatible and durable bike mount,358,Andrew Hagen & Kingsley Fiegert,"1,620",Andrew Mark Hagen,117,151,1,"147,000","4,320"
furniture from a different dimension,9,Spyntex,"15,200",Raimonda Klimasauskaite,544,"61,900",2,"2,430,000","183,000"
you deserve better coffee make it now with the arc,709,Inspired Lifestyle,"297,000",Dien Nguyen,"161,000","296,000",1,"1,470,000","2,240"
the mathematical bridge,"74,400",Ponticulus Design,"1,120",Benjamin Butler,"145,000","75,000",161,"1,110,000","8,540"
banishment,"3,590,000",Dark Mirror Games,"1,250",Jonathan Durnford,"2,400","3,830,000","5,560","161,000","59,600"
dammerlicht fantasy game based on the many worlds,91,RTTStudio (deleted),1,Bobby Perrier,131,86,1,235,0
cthulhu crusades,"12,800",Cthulhu Project,"59,000",Alberto Martin Cano Lopez,9,"24,400",8,"142,000",315
shadowscape,"58,900",NSKN Games,"337,000",Rainer Ahlfors,"4,380","348,000",75,"36,800",141
the orcish english dictionary 2nd edition,260,Matt Vancil,"67,700",Matthew Vancil,420,"66,200","1,770","35,300",6
the shorter catechism deck,442,The Westminster Standard,"5,150",Joshua Cavarretta,253,"5,120",6,"50,500",2
tio connected toys and inventions anyone can creat,75,Tio,"131,000,000",Peter Spence,"78,800","131,000,000",1,"218,000",75
ai war ii 0,872,Chris Park/Arcen Games,456,Christopher Michael Park,"1,070",596,1,"1,180,000","10,700"
relieve neck pain get weight off your shoulder w c,102,Team Start Living,"51,600",Song Miyoung,"4,740","49,100","92,800","1,940,000","7,640"
rest your discs relieve pain and strengthen with d,6,NEO DTRAC,533,Olivia Kang,"6,970",664,"2,910,000","504,000","2,250"
dreamwars steampunk horror board game,"2,010",Antonio Scaccino,"1,710",Antonio Scaccino,530,"2,410",1,514,1
ninja bees the card game,766,Chris Santillo,"2,320",Chris Santillo,"4,750","2,460",1,"288,000","7,180"
galactic coliseum,"1,680",Jonathan Jeffrey Lai,"3,050",John Khor,"11,800","2,160",24,"66,200",265
the bird told me to do it,"14,600",Czacha Games,"39,900",Gorny Andrzej,"17,300","53,400",3,"8,360,000","52,000"
zac voice control your home with a raccoon hologra,244,Vivoka,"149,000",Geoffrey Fabrice Guy Heckmann,4,"155,000",172,"29,800",7
array offgrid a new generation of solar backpacks,136,Voltaic Systems,"129,000",Julia Connors,"15,000","128,000",1,"124,000",75
the undercover,"427,000","The Undress, inc.","2,380",Dennis Caco,"3,930","416,000","13,200","3,310,000","107,000"
hippinie the multi functional tool for your head,8,Hippinie Inc.,262,Jacob Clement,"17,900",233,1,75,0
the wireless tma 2 modular headphone system,"1,220",AIAIAI,"3,270,000",Frederik Sukstorf JÃ¸rgensen,6,"3,280,000",6,"20,500",73
beautiful italian shoes for men and women,"5,680",Kabaccha Shoes,"12,300",Kabeer Arora,"9,990","17,400",1,"2,460,000","108,000"
the weatherneck system a tactical breakaway balacl,113,Brian Davis,"497,000",Brian William Davis,"9,310","490,000",1,"61,200",8
solosockstm a sustainable solution to sock waste,55,URU Design,"18,900",Alexander Morabbi Wulsch,394,"19,000",3,192,0
baelts the belt rebuilt,102,Florian Gypser,"13,400",Florian Baptist Gypser,228,"13,600","486,000","971,000","52,200"
well inked box,877,Well Inked Box,877,Mirna Reichle,150,884,"34,700","223,000","11,200"
lunowear nature inspired nature made,199,LunoWear,"16,600",Boman Farrer,364,"15,800",1,"25,300",21
field and crew heritage watch customization on you,202,Chris,"1,070,000,000",(name not available),"892,000","1,070,000,000","39,600","858,000",59
vinted bags and leather goods essentials for explo,108,Vinted Goods,"2,820",(name not available),"892,000","2,810",1,"85,000",7
mostradtm maverick wallet,145,Brandon Stastny,"2,830",Brandon Stastny,"8,660","2,830",5,6,3
backpacks and blisters a classic board game for th,176,Ragnar Brothers,"217,000",Gary Dicken,"241,000","215,000",1,"141,000",81
skyscraper art deco watch,"2,500",Mark Carson/Individual Design,631,Mark Lon Carson,32,"3,090",5,"575,000",545
elemental cubes by raw 0,2,Diana Voroneca,"1,020",Diana Voroneca,377,997,"3,430","73,100","2,430"
100 carbon fiber case for iphone 4 4s and 5,5,Sky View,"3,710,000",(name not available),"892,000","5,380,000","172,000","337,000","7,060"
larsen and ross leather products built to last a l,3,Jaren Larsen,749,(name not available),"892,000",739,"44,500","314,000",144
cloudpic,"51,600",Brad Hudes (deleted),105,(name not available),"892,000","78,700",80,"74,100",0
thumb book pocket thumbnail sketchbook for cartoon,6,Jeff McComsey,"95,100",Jeff McComsey,"15,600","95,900",174,"38,500",1
adelante shoe co quality and style revolutionized,9,Adelante Shoe Co.,"2,660",Peter Sacco,"31,100","2,670",471,"73,800",24
juta shoes ethical and environmental espadrilles,137,Joanna Hamer,"1,990",Joanna Elizabeth Hamer,217,"1,990",2,"4,390",0
broken homme made in usa boots and footwear,303,Josh Johnson & Jim Leatherman,232,JOSHUA Johnson,"1,870,000",218,2,"3,560,000","84,200"
vresh jeans handmade in europe,322,Vresh Clothing Company,163,Klaus Buchroithner,"9,160",396,1,"3,540,000","33,200"
haus of assembly shoes made in the bahamas,154,Aidan Anais,"807,000",Aidan Barrow,942,258,1,"225,000",50
the big sea serpent ceramic cocktail vessel tiki m,6,Crazy Al Evans,"25,300",Allan Evans,"79,500","25,200","3,000","365,000",34
oka whiskey tumbler with completely new tasting ex,5,Toms Liepkalns,"5,850",Toms Liepkalns,"5,590","5,630",9,5,1
fear the con 10 x con,198,Adam Gottfried,"67,100",Adam Gottfried,"20,600","69,400","326,000","1,050,000","12,700"
